1,17,81,19,22,84,99,29,67,25,42
2,52,48,2,60,13,30,61,40,33,3
3,55,63,17,15,60,12,98,26,72,83
4,95,53,44,91,52,62,55,54,16,73
5,66,61,16,23,37,82,52,95,81,87
6,6,29,78,93,83,32,58,60,82,3
7,16,93,10,11,19,97,82,72,80,7
8,96,58,15,97,66,29,6,44,80,8
9,50,99,73,30,73,80,77,65,79,98
10,29,12,84,63,84,17,37,34,33,60
11,23,43,14,87,71,16,62,61,3,59
12,21,50,68,100,43,68,77,46,82,59
13,86,56,18,75,7,53,63,2,41,66
14,10,41,30,99,95,8,15,16,7,2
15,9,56,60,71,59,27,72,47,11,59
16,5,29,31,95,30,6,87,75,74,29
17,63,11,3,20,85,22,48,24,24,14
18,20,48,89,93,46,98,4,75,45,15
19,62,88,75,42,95,33,1,45,41,39
20,28,42,36,14,57,87,32,64,60,73
21,34,86,42,22,54,65,8,82,66,41
22,8,7,64,82,59,52,53,90,48,14
23,83,40,14,3,86,81,33,22,73,71
24,25,62,97,78,27,67,83,34,21,24
25,13,72,48,26,59,16,96,80,89,64
26,81,87,35,59,42,2,72,10,100,59
27,20,94,50,52,25,49,17,76,75,78
28,78,36,31,90,17,89,56,65,34,66
29,52,2,20,43,8,96,97,59,73,44
30,12,11,97,21,15,78,91,92,27,54
31,67,29,71,46,34,61,50,48,57,39
32,50,67,35,43,79,30,51,98,25,44
33,59,56,30,57,1,14,8,32,21,28
34,34,48,95,97,32,83,34,85,64,22
35,6,83,97,56,78,92,21,86,47,58
36,48,29,33,37,11,16,66,73,9,52
37,92,60,30,26,47,50,96,17,31,47
38,10,15,94,26,81,93,41,92,17,38
39,43,95,59,1,56,91,57,20,22,90
40,10,5,59,29,61,89,74,20,25,44
41,94,62,85,58,38,47,50,98,35,88
42,43,93,89,45,1,48,3,99,16,57
43,27,55,12,27,58,63,63,64,97,80
44,80,96,9,76,77,51,8,52,23,85
45,98,64,10,18,98,34,61,68,36,50
46,42,10,68,31,36,20,89,91,92,8
47,47,25,27,21,99,51,39,22,62,6
48,56,31,42,5,36,57,45,23,30,64
49,52,12,76,42,65,54,80,57,11,80
50,81,50,93,48,51,52,22,55,62,24
51,86,92,67,77,40,75,72,16,13,89
52,93,86,98,75,39,4,22,66,73,43
53,24,78,27,88,29,44,93,23,35,27
54,16,14,19,1,58,4,86,23,94,50
55,4,72,34,50,34,37,98,100,36,48
56,17,75,67,86,56,73,63,3,7,55
57,58,69,93,65,27,59,19,20,77,74
58,37,25,40,64,68,57,90,70,13,49
59,26,63,43,74,44,63,43,78,6,51
60,9,59,5,62,100,19,77,11,3,86
61,75,39,55,62,38,30,77,49,67,80
62,49,44,4,80,8,12,92,10,84,29
63,54,40,21,84,49,8,2,41,38,18
64,5,95,62,36,73,19,18,93,74,19
65,45,10,56,76,72,2,100,42,99,77
66,44,57,51,91,2,15,94,8,98,3
67,77,80,96,36,14,94,13,68,27,1
68,54,2,7,1,16,26,49,100,72,41
69,82,6,11,6,84,78,8,75,5,5
70,38,91,80,10,9,5,63,34,82,19
71,4,78,53,59,65,62,39,38,83,56
72,66,55,70,68,58,86,18,44,14,11
73,69,15,28,3,34,55,26,70,25,34
74,96,77,63,10,54,88,31,87,47,38
75,47,95,56,18,32,19,20,95,51,97
76,22,11,20,64,80,42,59,97,30,4
77,47,66,38,92,23,43,85,53,41,30
78,80,26,99,82,85,8,80,49,2,12
79,55,91,47,97,15,98,57,90,29,69
80,66,7,93,64,7,60,69,38,37,30
81,53,16,96,6,59,45,34,80,16,12
82,17,89,44,40,87,26,43,73,75,90
83,42,16,9,96,23,54,28,89,20,54
84,63,6,5,75,7,77,67,54,81,31
85,17,86,8,29,24,22,86,68,62,3
86,3,7,40,90,92,75,1,4,9,86
87,38,26,15,84,92,25,14,86,21,77
88,19,35,33,73,11,72,21,73,52,96
89,51,47,98,43,97,36,53,26,51,32
90,95,67,99,20,76,56,35,48,80,52
91,12,17,30,29,86,57,94,33,62,53
92,70,63,32,93,68,64,100,10,11,75
93,7,55,18,16,33,74,35,19,88,36
94,46,63,79,6,29,66,88,94,9,76
95,40,32,48,69,15,8,83,97,77,51
96,28,20,9,4,30,55,78,19,49,1
97,78,92,87,44,89,29,3,26,97,7
98,39,21,37,22,12,46,32,89,54,63
99,69,78,85,55,32,72,45,37,39,23
100,64,5,79,10,21,40,99,10,58,98
